name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 136418 b,343,2.14 Jupiters,7.849,2009
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 13808 b,92,11.2 Earths,8.36,2021
HD 13808 c,92,9.96 Earths,8.36,2021
HD 13908 b,259,0.865 Jupiters,7.52,2013
HD 13908 c,259,5.13 Jupiters,7.52,2013
HD 13931 b,155,2.2 Jupiters,7.61,2009
HD 139357 b,366,9.76 Jupiters,5.97272,2008
HD 1397 b,260,0.415 Jupiters,7.79,2018
HD 136418 b,343,2.14 Jupiters,7.849,2009
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 13808 b,92,11.2 Earths,8.36,2021
HD 13808 c,92,9.96 Earths,8.36,2021
HD 13908 b,259,0.865 Jupiters,7.52,2013
HD 13908 c,259,5.13 Jupiters,7.52,2013
HD 13931 b,155,2.2 Jupiters,7.61,2009
HD 139357 b,366,9.76 Jupiters,5.97272,2008
HD 1397 b,260,0.415 Jupiters,7.79,2018
HD 136418 b,343,2.14 Jupiters,7.849,2009
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 13808 b,92,11.2 Earths,8.36,2021
HD 13808 c,92,9.96 Earths,8.36,2021
HD 13908 b,259,0.865 Jupiters,7.52,2013
HD 13908 c,259,5.13 Jupiters,7.52,2013
HD 13931 b,155,2.2 Jupiters,7.61,2009
HD 139357 b,366,9.76 Jupiters,5.97272,2008
HD 1397 b,260,0.415 Jupiters,7.79,2018
HD 136418 b,343,2.14 Jupiters,7.849,2009
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 13808 b,92,11.2 Earths,8.36,2021
HD 13808 c,92,9.96 Earths,8.36,2021
HD 13908 b,259,0.865 Jupiters,7.52,2013
HD 13908 c,259,5.13 Jupiters,7.52,2013
HD 13931 b,155,2.2 Jupiters,7.61,2009
HD 139357 b,366,9.76 Jupiters,5.97272,2008
HD 1397 b,260,0.415 Jupiters,7.79,2018
HD 14067 b,463,7.8 Jupiters,6.53329,2014
HD 141004 b,39,13.63484 Earths,4.4154,2021
HD 141399 b,121,0.451 Jupiters,7.20856,2014
HD 141399 c,121,1.33 Jupiters,7.20856,2014
HD 141399 d,121,1.18 Jupiters,7.20856,2014
HD 141399 e,121,0.66 Jupiters,7.20856,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,317,3.07 Jupiters,7.46,2011
HD 142415 b,116,1.67 Jupiters,7.33,2003
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,341,1.685 Jupiters,7.78,2009
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
